,Equity,Drawdown
2025-05-06,60000.0,0.0
2025-05-07,58492.13440000001,-0.025131093333333167
2025-05-08,61890.13440000001,0.0
2025-05-09,65041.13440000001,0.0
2025-05-12,63672.13440000001,-0.021048218371787806
2025-05-13,64074.13440000001,-0.014867514364878603
2025-05-14,63633.290141787,-0.02164544439761506
2025-05-15,64948.58807612125,-0.00142288914134873
2025-05-16,64810.00100165488,-0.00355364955542862
2025-05-19,66469.73688596708,0.0
2025-05-20,68465.498561612,0.0
2025-05-21,70811.52968578857,0.0
2025-05-22,73036.71684357851,0.0
2025-05-23,72119.46298593789,-0.012558804629801325
2025-05-26,70599.01749066662,-0.03337635450033537
2025-05-27,68839.26786398668,-0.057470395179200606
2025-05-28,70725.48392054826,-0.03164480856909525
2025-05-29,72134.88373952749,-0.012347667625619924
2025-05-30,71776.19639609769,-0.017258722762421838
2025-06-03,73065.08055383427,0.0
2025-06-04,72523.36847442089,-0.007414103636199345
2025-06-05,73071.45442439613,0.0
2025-06-06,72349.47826116093,-0.009880413205435775
2025-06-09,73691.11521020542,0.0
2025-06-10,74141.59761597653,0.0
2025-06-11,74446.51293037724,0.0
2025-06-12,74571.73234448754,0.0
2025-06-13,72996.71445069317,-0.02112084357271605
2025-06-16,73492.2228016515,-0.014476122639195139
2025-06-17,73418.08551588337,-0.01547029675098386
2025-06-18,72972.71326418655,-0.021442697253085768
2025-06-19,73015.33161579531,-0.020871189118986312
2025-06-20,73143.867974287,-0.019147528497855604
2025-06-23,72268.08784024519,-0.030891658699848255
2025-06-24,72269.06866655673,-0.03087850591016905
2025-06-25,73812.85656095247,-0.010176453726854679
2025-06-26,75500.0757484991,0.0
2025-06-27,76345.71369215613,0.0
2025-06-30,76569.92634004181,0.0
2025-07-01,76999.56428369883,0.0
2025-07-02,78610.56428369883,0.0
2025-07-03,77272.73764055868,-0.01701840783526296
2025-07-04,78001.73764055868,-0.0077448450941394985
2025-07-07,78855.73764055868,0.0
2025-07-08,78342.73764055868,-0.006505550710062009
2025-07-09,79180.73764055868,0.0
2025-07-10,76275.15364493955,-0.03669559140518551
2025-07-11,80339.45468127343,0.0
2025-07-14,80589.37267334247,0.0
2025-07-15,79466.89312218748,-0.013928381794269574
2025-07-16,81914.19279364582,0.0
2025-07-17,83056.43048404214,0.0
2025-07-18,83492.18280110175,0.0
2025-07-21,84143.80596130429,0.0
2025-07-22,83719.28831753353,-0.005045144308851224
2025-07-23,83483.61822267322,-0.00784594577210675
2025-07-24,84243.93797693744,0.0
2025-07-25,84903.95380920637,0.0
2025-07-28,84790.86035794008,-0.0013320163101053412
2025-07-29,84466.21963814016,-0.005155639418746953
2025-07-30,83386.90515875183,-0.017867821018837438
2025-07-31,82501.89038652045,-0.028291537848564398
2025-08-01,84098.66192843956,-0.00948473945720414
2025-08-04,86331.61277905392,0.0
2025-08-05,86427.73333422028,0.0
2025-08-06,86729.85747736674,0.0
2025-08-07,87501.22254363616,0.0
2025-08-08,87247.40917316264,-0.0029006837058413453
2025-08-11,87971.02477204843,0.0
2025-08-12,89144.6932957253,0.0
2025-08-13,89027.06376926291,-0.0013195348159667961
2025-08-14,88658.2398004322,-0.0054568979633970605
2025-08-15,88669.59962562501,-0.0053294666517527374
2025-08-18,88050.50852932426,-0.012274255773938602
2025-08-19,88769.25745424037,-0.004211533268048494
2025-08-20,87631.5773978337,-0.01697370692467416
2025-08-21,88137.92730191963,-0.011293616665053373
2025-08-22,86849.6294009541,-0.025745378776026968
2025-08-25,84671.18113960094,-0.05018259630199292
2025-08-26,83584.65985695594,-0.06237088527888822
2025-08-27,83758.36034158275,-0.060422362285482624
2025-08-28,84426.10873793389,-0.05293174930938578
2025-08-29,81640.46630211816,-0.08418029964737098
2025-09-01,83297.84180013736,-0.06558832925917203
2025-09-02,83677.64920183449,-0.061327757062943106
2025-09-03,82324.23863674581,-0.07650993465593704
2025-09-04,82315.30951989311,-0.07661009896771584
2025-09-05,82347.35769599666,-0.07625059157676849
2025-09-08,83094.20647745008,-0.0678726528140443
2025-09-09,82733.89784612058,-0.07191449330963293
2025-09-10,82185.68955718719,-0.07806413911204534
2025-09-11,82497.00243963227,-0.07457191909382904
2025-09-12,81241.00243963227,-0.08866137247086173
2025-09-15,81937.00243963227,-0.08085384098167801
2025-09-16,83952.00243963227,-0.0582501399030786
2025-09-17,85584.00243963227,-0.039942824687061604
2025-09-18,86048.20571301033,-0.03473552343091016
2025-09-19,85953.65061197132,-0.03579621585738299
2025-09-22,86648.9011233024,-0.027997091920474122
2025-09-23,87173.98530885424,-0.022106845780864415
2025-09-24,87824.06744908167,-0.014814407878017273
2025-09-25,86520.12400760251,-0.029441677245062015
2025-09-26,86643.12400760251,-0.028061897973266615
2025-09-29,87189.12400760251,-0.02193702413261387
2025-09-30,86772.12400760251,-0.02661481239552998
2025-10-09,85869.12400760251,-0.03674441143968644
2025-10-10,86827.61313567284,-0.025992351023810936
2025-10-13,88715.618450196,-0.0048132404708142295
2025-10-14,87169.54800860742,-0.022156622162192014
2025-10-15,86620.68251435678,-0.028313640308295834
2025-10-16,87113.47012668647,-0.022785688008376725
2025-10-17,88337.61368702001,-0.009053591177075585
2025-10-20,87688.27251480443,-0.01633771710997309
2025-10-21,88762.284300063,-0.004289756142788187
2025-10-22,87769.49109803452,-0.015426629974806696
2025-10-23,90690.97847618806,0.0
2025-10-24,90357.27363771145,-0.0036795814102306484
2025-10-27,91797.27363771145,0.0
2025-10-28,91623.08741590474,-0.0018975097506071573
2025-10-29,91879.20474674499,0.0
2025-10-30,91759.47385390871,-0.0013031337522598446
2025-10-31,91972.11095280107,0.0
2025-11-03,91650.45235723125,-0.003497349275095967
2025-11-04,92473.97716964672,0.0
2025-11-05,92790.51406576687,0.0
2025-11-06,92153.90586648992,-0.006860703442441755
2025-11-07,90706.67477812163,-0.02245746031936287
2025-11-10,88458.05349626065,-0.0466907702056216
2025-11-11,91142.9972196872,-0.017755229213537546
2025-11-12,92700.33088221756,-0.0009719008937205351
2025-11-13,93618.45664183816,0.0
2025-11-14,94385.60072244376,0.0
2025-11-17,95147.70485936521,0.0
2025-11-18,94114.49816590673,-0.010858976524821456
2025-11-19,92129.148301201,-0.03172495398208341
2025-11-20,91297.58252681869,-0.04046468948712182
2025-11-21,91237.68107155291,-0.041094252284819506
2025-11-24,91393.20133733365,-0.03945973817845606
2025-11-25,90354.37475926057,-0.0503777795501165
2025-11-26,91896.00314084574,-0.03417530379030905
2025-11-27,93910.57295574844,-0.013002225386785051
2025-11-28,96674.91715489016,0.0
2025-12-01,95989.8368241164,-0.007086433078356273
2025-12-02,96077.50545967458,-0.006179593557431561
2025-12-03,91150.11384715242,-0.05714826006921779
2025-12-04,92921.06954709336,-0.03882959218659051
2025-12-05,95684.27339151155,-0.010247164337275063
2025-12-08,95504.27339151155,-0.01210907438899622
2025-12-09,97739.27339151155,0.0
2025-12-10,96248.27339151155,-0.015254870926117301
2025-12-11,96077.27339151155,-0.01700442352730178
2025-12-12,92492.79229768585,-0.053678331255952894
2025-12-15,94403.33734938451,-0.03413096830344104
2025-12-16,95626.24547346134,-0.021619026259650127
2025-12-17,97895.51844244213,0.0
2025-12-18,98696.79141142294,0.0
2025-12-19,98398.2153599255,-0.0030251849855261106
2025-12-22,101046.61460865103,0.0
2025-12-23,103665.61273046481,0.0
2025-12-24,106109.60333953376,0.0
2025-12-25,106643.89338514686,0.0
2025-12-26,104643.98150212265,-0.018753177697681013
2025-12-29,104596.47369865444,-0.01919865846512292
2025-12-30,100963.4416177296,-0.053265607500864454
2025-12-31,98255.48800501283,-0.07865809390359668
2026-01-05,102381.97572177585,-0.03996401039090914
2026-01-06,103039.76454772957,-0.0337959232639875
2026-01-07,103913.76454772957,-0.02560042352877501
2026-01-08,100507.76454772957,-0.05753849229094176
2026-01-09,100511.76454772957,-0.05750098428300028
2026-01-12,98354.76454772957,-0.07772717756544117
2026-01-13,99872.03219492588,-0.06349975582534528
2026-01-14,97257.90291143679,-0.0880124513066337
2026-01-15,100802.97612015952,-0.054770292790162205
2026-01-16,104833.55815546587,-0.016975517042902052
2026-01-19,106294.78453137449,-0.0032735944149334018
2026-01-20,108411.68672722077,0.0
2026-01-21,105455.68672722077,-0.02726643306858343
2026-01-22,109479.68672722077,0.0
2026-01-23,107713.68672722077,-0.016130846303937275
2026-01-26,107302.68672722077,-0.01988496738599742
2026-01-27,107586.9202272208,-0.017288746036659565
2026-01-28,109652.9202272208,0.0
2026-01-29,111486.9202272208,0.0
2026-01-30,113458.9202272208,0.0
2026-02-02,114295.9202272208,0.0
2026-02-03,116004.68436363697,0.0
2026-02-04,117406.3965023653,0.0
2026-02-05,118359.15025959077,0.0
2026-02-06,119248.30748502426,0.0
2026-02-09,119257.33869889709,0.0
2026-02-10,118739.07580178732,-0.004345752661966503
2026-02-11,118841.07580178732,-0.003490459385151637
2026-02-12,117140.07580178732,-0.017753732560270134
2026-02-13,114631.07580178732,-0.038792270124275025
2026-02-24,113331.07580178732,-0.04969306678956253
2026-02-25,115766.6914017873,-0.029269874166176282
2026-02-26,114749.6914017873,-0.03779765124971274
2026-02-27,114715.6914017873,-0.03808274900865102
2026-03-02,112460.6914017873,-0.05699143860882282
2026-03-03,111004.6914017873,-0.06920033087394482
2026-03-04,110876.30210178733,-0.07027690445340512
2026-03-05,111524.30210178731,-0.06484327657716962
2026-03-06,115202.30210178731,-0.03400240724261005
2026-03-09,113254.30210178733,-0.05033683178413305
2026-03-10,115352.30210178733,-0.03274462301199983
2026-03-11,117061.33200178735,-0.018414017292925296
2026-03-12,117117.33200178735,-0.01794444451349753
2026-03-13,117672.33200178735,-0.01329064286024017
2026-03-16,117867.33200178735,-0.011655523360447045
2026-03-17,117316.33200178735,-0.016275784100888133
2026-03-18,120588.91710178735,0.0
2026-03-19,122243.91710178735,0.0
2026-03-20,122274.91710178735,0.0
2026-03-23,122778.91710178735,0.0
2026-03-24,121243.91710178735,-0.012502146428995132
2026-03-25,123248.7136853176,0.0
2026-03-26,121344.94868791083,-0.01544653035704313
2026-03-27,120792.42122868187,-0.019929558558373445
2026-03-30,122163.16196515394,-0.008807813791349843
2026-03-31,116949.90909821453,-0.051106452949970564
2026-04-01,118894.23994606217,-0.03533078446865915
2026-04-02,118894.23994606217,-0.03533078446865915
2026-04-03,118894.23994606217,-0.03533078446865915
2026-04-07,118894.23994606217,-0.03533078446865915
2026-04-08,118894.23994606217,-0.03533078446865915
2026-04-09,116898.96569606217,-0.05151979115553134
2026-04-10,116773.03151347193,-0.05254158017729571
2026-04-13,116368.91686379042,-0.055820435084563164
2026-04-14,117307.96569606217,-0.048201298103796364
2026-04-15,115182.0745071025,-0.06545008817545224
2026-04-16,116308.24242059496,-0.05631272779400574
2026-04-17,116308.83069573043,-0.05630795472077946
2026-04-20,115662.77207140773,-0.061549864392731385
