,Equity,Drawdown
2025-06-03,100000.0,0.0
2025-06-04,99952.474,-0.0004752599999999802
2025-06-05,99208.474,-0.00791525999999998
2025-06-06,99293.3656,-0.007066343999999954
2025-06-09,99293.3656,-0.007066343999999954
2025-06-10,99293.3656,-0.007066343999999954
2025-06-11,99293.3656,-0.007066343999999954
2025-06-12,99158.5692109631,-0.008414307890368946
2025-06-13,97561.04749533867,-0.02438952504661327
2025-06-16,96924.97644697202,-0.03075023553027975
2025-06-17,98093.50958597033,-0.019064904140296712
2025-06-18,99074.28797651619,-0.009257120234838075
2025-06-19,97981.22862825016,-0.020187713717498407
2025-06-20,98150.03555343483,-0.018499644465651655
2025-06-23,99563.59907408053,-0.004364009259194718
2025-06-24,100736.6038200775,0.0
2025-06-25,100847.89701120609,0.0
2025-06-26,100787.09164944975,-0.0006029412963324883
2025-06-27,100210.93917594133,-0.006316024965736152
2025-06-30,99773.73576008569,-0.010651300453008364
2025-07-01,99640.82634662968,-0.011969219987227763
2025-07-02,100066.25972867021,-0.007750655251135582
2025-07-03,100461.83594335889,-0.0038281518929869376
2025-07-04,98631.92330690476,-0.021973425028933364
2025-07-07,99952.44038283372,-0.00887927914126823
2025-07-08,101352.98717232338,0.0
2025-07-09,103082.85970626226,0.0
2025-07-10,103609.57204922204,0.0
2025-07-11,103596.6738990037,-0.0001244880174991704
2025-07-14,104698.20917981857,0.0
2025-07-15,104798.17783825147,0.0
2025-07-16,104803.44046605233,0.0
2025-07-17,103574.57816151544,-0.011725400416935145
2025-07-18,103191.41024688551,-0.015381462784029317
2025-07-21,103382.34425740206,-0.013559633179319028
2025-07-22,103133.02897139854,-0.015938517735921694
2025-07-23,102360.19234539324,-0.0233126709370815
2025-07-24,100561.3028419622,-0.04047708362650778
2025-07-25,98983.99811081131,-0.05552720721154221
2025-07-28,98695.19195297228,-0.058282900694072326
2025-07-29,98786.40837527649,-0.05741254355790796
2025-07-30,97798.40837527649,-0.06683971499051022
2025-07-31,96307.75447245533,-0.08106304483724368
2025-08-01,95124.59756539116,-0.09235233936615198
2025-08-04,93985.58283950674,-0.10322044370336951
2025-08-05,93305.58283950674,-0.10970878031690143
2025-08-06,93251.01083950674,-0.11022948841348035
2025-08-07,93040.0187545622,-0.11224270557511425
2025-08-08,93171.18047592814,-0.11099120351771358
2025-08-11,92273.99514999283,-0.11955185116387479
