,Equity,Drawdown
2025-06-03,100000.0,0.0
2025-06-04,100183.28393296027,0.0
2025-06-05,100164.28393296027,-0.00018965239762667638
2025-06-06,100259.28393296027,0.0
2025-06-09,100335.28393296027,0.0
2025-06-10,100202.28393296027,-0.0013255556249670345
2025-06-11,100527.56023103929,0.0
2025-06-12,100404.20823693466,-0.001227046531529555
2025-06-13,99344.50906039457,-0.011768426170154188
2025-06-16,100139.24570790144,-0.003862766809871771
2025-06-17,99374.25725684532,-0.011472505366124161
2025-06-18,97821.52249486238,-0.026918366763877547
2025-06-19,94546.87747752902,-0.05949296630461389
2025-06-20,94981.58044802904,-0.05516874944805284
2025-06-23,98474.77854420492,-0.0204200886017379
2025-06-24,101969.69190502165,0.0
2025-06-25,101979.58090021704,0.0
2025-06-26,102552.00796604424,0.0
2025-06-27,103665.50856969213,0.0
2025-06-30,104188.55663689424,0.0
2025-07-01,104358.53386601183,0.0
2025-07-02,105314.08232106525,0.0
2025-07-03,106570.35358687933,0.0
2025-07-04,105341.1121672446,-0.011534553262344292
2025-07-07,105842.75688217401,-0.006827383791235658
2025-07-08,105952.86564140822,-0.005794181258559022
2025-07-09,105919.75566991736,-0.0061048677710502375
2025-07-10,105700.36980689214,-0.008163469020283889
2025-07-11,105558.76308196907,-0.009492231853069528
2025-07-14,106962.58194115163,0.0
2025-07-15,105778.06279790252,-0.011074145011765023
2025-07-16,107543.87055953781,0.0
2025-07-17,108514.0725016094,0.0
2025-07-18,109000.0748324189,0.0
2025-07-21,109466.19383193576,0.0
2025-07-22,108988.44708512016,-0.004364331398505401
2025-07-23,108679.99229169574,-0.007182140099317555
2025-07-24,109427.8982454659,-0.0003498393899458603
2025-07-25,111056.40426014252,0.0
2025-07-28,111530.75626985398,0.0
2025-07-29,110521.03544533823,-0.009053294878344453
2025-07-30,110420.87557027231,-0.0099513420037811
2025-07-31,109199.85293368345,-0.020899197800925917
2025-08-01,111623.18282399827,0.0
2025-08-04,112688.6108896898,0.0
2025-08-05,113520.94601645853,0.0
2025-08-06,113868.31034031563,0.0
